price,number_of_reviews,latitude,longitude,room_type,minimum_nights,availability_365,review_scores_rating,license,neighbourhood_cleansed,calculated_host_listings_count,bedrooms,name,number_of_reviews_ltm,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d,has_license
153.0,174,42.34447,-71.07644,Entire home/apt,1,360,4.56,STR-589710,South End,87,1.0,"Explore Newbury St, Fenway, and Chinatown Nearby,",2,f,12,1836.0,1
202.0,170,42.34982,-71.08264,Entire home/apt,1,263,4.62,STR-445391,Back Bay,87,0.0,Boston’s Top Location: Newbury Street – #1,6,f,36,7272.0,1
76.0,570,42.32965,-71.0932,Private room,2,54,4.92,STR-580450,Roxbury,6,1.0,AKBrownstone: Loft rooftop views by T,87,t,255,19380.0,1
282.0,119,42.32397,-71.09085,Entire home/apt,3,131,4.75,STR-446652,Roxbury,11,3.0,Fort Hill Inn Historic Beauty! Minutes to Center!,10,t,60,16920.0,1
204.0,35,42.34301,-71.07304,Entire home/apt,120,239,4.89,Exempt: This listing is a hotel or motel,South End,7,1.0,"The Upton South End, The Copley Suite",12,t,255,52020.0,1
159.0,879,42.32967,-71.09328,Entire home/apt,2,43,4.9,STR-580450,Roxbury,6,0.0,AKBrownstone: cozy private studio by T,95,t,255,40545.0,1
39.0,7,42.31676,-71.08,Private room,91,365,4.86,none,Roxbury,31,1.0,Parking EZ 2 Downtown/Longwood Larg,0,f,0,0.0,0
39.0,1,42.31676,-71.08,Private room,91,365,4.0,none,Roxbury,31,2.0,Parking Renovated Close to Downtown,0,f,0,0.0,0
332.0,17,42.3645578,-71.0692521,Entire home/apt,30,83,4.71,STR-595465,West End,11,2.0,2 Bd/Bth Apt in Prime Location Gorgeous Water View,0,t,0,0.0,1
258.0,436,42.378693,-71.035088,Entire home/apt,1,312,4.86,STR-398048,East Boston,3,2.0,Boston RooftopTerrace/ 2 Bed / By Logan airport,47,t,255,65790.0,1
133.0,173,42.34441,-71.07633,Entire home/apt,1,359,4.64,STR-441249,South End,87,0.0,South End Studio Perfect for Work Travel #46,13,f,78,10374.0,1
39.0,4,42.31676,-71.08,Private room,91,365,4.5,none,Roxbury,31,2.0,Parking Easy to downtown/Longwood,0,f,0,0.0,0
60.0,21,42.34341,-71.15451,Entire home/apt,91,1,5.0,none,Brighton,3,1.0,Charming studio,2,t,255,15300.0,0
448.0,216,42.34765,-71.15509,Entire home/apt,3,266,4.89,STR-470547,Brighton,2,5.0,Historic House modernized,32,t,192,86016.0,1
261.0,114,42.2563,-71.12762,Entire home/apt,2,198,4.6,STR-544913,Hyde Park,1,2.0,Charming Victorian Furnished Home,7,f,42,10962.0,1
58.0,29,42.35111,-71.16529,Private room,91,258,4.79,none,Brighton,1,1.0,Cosy Celtic Retreat,2,f,255,14790.0,0
27.0,24,42.27667,-71.08169,Private room,30,169,4.79,STR-416068,Mattapan,4,1.0,One Sweet Place (A) managed by Andrea,1,f,60,1620.0,1
94.0,433,42.32352198858505,-71.10688328334862,Entire home/apt,4,239,4.66,STR-545228,Jamaica Plain,1,0.0,Studio w/ private entrance and bathroom,7,f,56,5264.0,1
645.0,351,42.35779,-71.13347,Entire home/apt,2,114,4.91,STR-568839,Allston,2,4.0,Spacious Family-Friendly Townhome Near Harvard,59,t,255,164475.0,1
59.0,41,42.31124,-71.06551,Private room,29,365,4.85,STR-415034,Dorchester,1,5.0,3rd floor room in Victorian House,0,f,0,0.0,1
84.0,37,42.31327,-71.10811,Private room,30,229,4.68,STR-416301,Jamaica Plain,2,1.0,Quiet room - Great location!,3,f,180,15120.0,1
65.0,200,42.33034,-71.05802,Private room,5,174,4.6,STR-524662,South Boston,3,1.0,"Large room with view on Downtown, 27 Dexter Street",11,f,110,7150.0,1
570.0,100,42.34041,-71.08384,Entire home/apt,29,284,4.98,Exempt: This listing is a unit used for furnished institutional or business stays,Roxbury,3,2.0,Stunning SouthEnd/BackBay Penthouse,0,t,0,0.0,1
199.0,488,42.30542,-71.10409,Entire home/apt,2,269,4.92,STR-446628,Jamaica Plain,1,2.0,2 Bdrm Apt w/ tower in JP Victorian,61,t,255,50745.0,1
1000.0,38,42.34024,-71.07483,Entire home/apt,5,88,5.0,STR-470244,South End,1,3.0,Beautiful Townhouse Boston's South End,9,t,90,90000.0,1
39.0,6,42.31681,-71.08001,Private room,91,365,5.0,none,Roxbury,31,1.0,"Renovated, Quiet, Free Parking",0,f,0,0.0,0
102.0,267,42.31163,-71.06351,Entire home/apt,29,129,4.81,none,Dorchester,2,3.0,Beautiful 3 bedroom Dorchester MA,3,t,174,17748.0,0
155.0,25,42.28629,-71.13839,Entire home/apt,29,316,4.64,STR-445527,Roslindale,2,2.0,Quiet  Beauty in Boston,0,f,0,0.0,1
