price,number_of_reviews,latitude,longitude,room_type,minimum_nights,availability_365,review_scores_rating,license,neighbourhood_cleansed,calculated_host_listings_count,bedrooms,name,number_of_reviews_ltm,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d,has_license
146.0,618,42.32971,-71.0931,Private room,2,39,4.95,STR-580450,Roxbury,6,1.0,AKBrownstone: Master Suite park view by T,83,t,255,37230.0,1
175.0,79,42.34128,-71.07607,Entire home/apt,33,85,4.71,none,South End,4,0.0,Studio apart Tremont St South End #2,2,t,132,23100.0,0
99.0,7,42.38831,-71.0044,Private room,5,167,4.57,STR-600662,East Boston,2,1.0,ONE Room at East Boston Logan Airport,2,f,20,1980.0,1
180.0,150,42.34128,-71.07607,Entire home/apt,30,243,4.82,none,South End,4,2.0,large & grand 2 bedroom South End by Copley Sq #3,2,t,120,21600.0,0
175.0,88,42.34128,-71.07607,Entire home/apt,31,176,4.83,none,South End,4,1.0,newly furn one bedroom by Copley #6,2,t,124,21700.0,0
194.0,16,42.35309,-71.14822,Entire home/apt,45,314,4.69,none,Brighton,1,3.0,"Grt Location, Big 3 Bed, Nr all Colleges, parking",2,f,180,34920.0,0
100.0,509,42.32942,-71.09149,Private room,2,30,4.93,STR-580450,Roxbury,6,1.0,AKBrownstone: modern treetop skyline view by T,79,t,255,25500.0,1
162.0,238,42.36017,-71.06346,Entire home/apt,1,329,4.57,STR-415631,Beacon Hill,86,0.0,Perfectly Located Rental Near MGH & TD Garden #13,24,f,144,23328.0,1
142.0,109,42.34441,-71.07633,Entire home/apt,1,324,4.58,STR-441258,South End,86,0.0,South End Studio Perfect for Work Travel #36,5,f,30,4260.0,1
221.0,179,42.34447,-71.07644,Entire home/apt,1,317,4.57,STR-589710,South End,86,1.0,"Explore Newbury St, Fenway, and Chinatown Nearby,",7,f,42,9282.0,1
221.0,175,42.34982,-71.08264,Entire home/apt,1,286,4.61,STR-445391,Back Bay,86,0.0,Boston’s Top Location: Newbury Street – #1,11,f,66,14586.0,1
106.0,590,42.32965,-71.0932,Private room,2,39,4.92,STR-580450,Roxbury,6,1.0,AKBrownstone: Loft rooftop views by T,83,t,255,27030.0,1
246.0,127,42.32397,-71.09085,Entire home/apt,3,47,4.76,STR-446652,Roxbury,11,3.0,Fort Hill Inn Historic Beauty! Minutes to Center!,16,t,96,23616.0,1
175.0,42,42.34301,-71.07304,Entire home/apt,120,184,4.88,Exempt: This listing is a hotel or motel,South End,7,1.0,"The Upton South End, The Copley Suite",18,t,255,44625.0,1
154.0,905,42.32967,-71.09328,Entire home/apt,2,37,4.9,STR-580450,Roxbury,6,0.0,AKBrownstone: cozy private studio by T,98,t,255,39270.0,1
